id,user_id,song_id,text,inserted_at,updated_at
11795a24-216d-4974-998f-713041b54428,76e744be-8016-45e5-9e6f-68f98f310ae2,a4228298-c795-4d60-b450-cb0c500d8caf,"The entire song is here now, so listen to it again if you haven't. Played well on the floor with many asking about the artist and title.",2016-04-22 18:42:38.762972,2016-04-22 18:42:38.762972
1a6ca6c0-9c53-4b3c-acfd-976eb6354abc,76e744be-8016-45e5-9e6f-68f98f310ae2,75285339-2d24-4515-9bd0-814cbf12f8bc,"I would disagree, but will follow your rules. The song did get 8 Tops, which was more than any other recent song!",2016-05-14 00:32:52.812924,2016-05-14 00:32:52.812924
58961229-3374-45a5-b463-201560355105,76e744be-8016-45e5-9e6f-68f98f310ae2,43b84769-b44a-48ed-95dc-fad24e662251,"Here is the entire song, https://www.youtube.com/watch?v=XgJFqVvb2Ws",2016-03-25 18:59:28.582198,2016-03-25 18:59:28.582198
046e902b-9fd9-4f19-9b8a-ea5c207ed865,a29dde91-29c7-4fa8-94e8-65a58e38d842,e351320b-6921-4fab-a78e-1bef530bde28,"<div>Not sure if this has already been posted, but I think its an 11!<br><br></div>",2016-09-09 22:52:43.320344,2016-09-09 22:52:43.320344
1ef24b62-2fa8-4178-8a4f-c148e78f16a6,a29dde91-29c7-4fa8-94e8-65a58e38d842,ef0ed462-4725-4069-958a-31a0912bf017,<div>superb</div>,2016-09-09 23:09:58.172924,2016-09-09 23:09:58.172924
c5251069-441a-4071-a137-3ea950979587,a29dde91-29c7-4fa8-94e8-65a58e38d842,92427b1c-b2f8-4d51-97c3-40f778b1d8ad,<div>Any idea where I can get this please?<br><br></div>,2016-09-08 15:50:39.662426,2016-09-08 15:50:39.662426
ff20f5b0-5d75-45c7-8927-8731ce1879cf,12fa6eef-5bd6-4e8d-999e-1b70ac63dde2,6b12b065-13b6-4db5-9ce0-fa1908f34e2d,Great tune - i see you beat me to it (can't figure out how to up-vote it though :-),2016-06-10 18:08:52.135936,2016-06-10 18:08:52.135936
71e9038d-2d61-4d57-938c-ce6ac77c5d48,001ce697-b405-49aa-b259-75ded72afcb2,bb84016d-6e57-4be7-892d-76b0dc3e90a9,<div>Vidéo plus dispo sur Youtube&nbsp;</div>,2016-10-07 12:53:39.817519,2016-10-07 12:53:39.817519
47a261df-d951-46da-9577-0df6f3046768,001ce697-b405-49aa-b259-75ded72afcb2,79c2abd5-0038-4b79-bac6-aa01c03370c3,"No more on youtube !",2016-03-21 19:30:07.81759,2016-03-21 19:30:07.81759
d44facc4-49ee-4c4d-a821-ef1bae494768,36e7e58e-6049-4d2d-991e-fa803df9fb71,78f0e6f3-70b1-4eb5-b90a-18d8942a1fee,https://m.youtube.com/watch?v=Lfoqujg746c,2016-07-03 14:43:05.137821,2016-07-03 14:43:05.137821
475271e9-fa7b-411a-a451-062975cdd539,f8ff4af7-6be3-4c97-b754-30e80376ca5e,4a37ff3e-b3ff-48db-a07b-cdf9a01b95b8,<div>Not available in all countries Danny</div>,2016-10-20 09:47:15.275213,2016-10-20 09:47:15.275213
59b22129-aa57-4755-99d5-8b0215de9629,f8ff4af7-6be3-4c97-b754-30e80376ca5e,0d984988-4647-4ed4-aa00-b9e304a8ee14,<div>European link : https://youtu.be/wNlDmJP0pzs</div>,2016-10-20 09:26:46.228918,2016-10-20 09:26:46.228918
bea14600-8185-4d7e-ad17-8b654bbd1c32,f8ff4af7-6be3-4c97-b754-30e80376ca5e,92427b1c-b2f8-4d51-97c3-40f778b1d8ad,https://itunes.apple.com/album/sexy-whered-you-get-yours/id1131018971?v0=9988&ign-mpt=uo%3D1,2016-07-09 08:46:45.550853,2016-07-09 08:46:45.550853
2f2fdf5a-7ff5-4845-8a65-937d0291734b,f8ff4af7-6be3-4c97-b754-30e80376ca5e,7614beaf-ff3e-41a3-9518-c058eb06994c,Yes please Max,2016-06-30 23:22:37.96207,2016-06-30 23:22:37.96207
